Stats on Validation Set
              precision    recall  f1-score   support
         ADJ       0.86      0.82      0.84      1874
         ADP       0.85      0.89      0.87      2030
         ADV       0.87      0.66      0.75      1186
         AUX       0.87      0.89      0.88      1513
       CCONJ       0.99      0.99      0.99       779
         DET       0.95      0.98      0.96      1898
        INTJ       0.83      0.69      0.75       115
        NOUN       0.82      0.86      0.84      4197
         NUM       0.93      0.81      0.86       383
        PART       0.67      0.99      0.80       632
        PRON       0.96      0.93      0.95      2219
       PROPN       0.73      0.76      0.75      1787
       PUNCT       0.99      0.98      0.99      3076
       SCONJ       0.63      0.66      0.64       466
         SYM       0.75      0.72      0.74        80
        VERB       0.83      0.79      0.81      2760
           X       0.50      0.06      0.11       146
    accuracy                           0.86     25141
   macro avg       0.83      0.79      0.80     25141
weighted avg       0.87      0.86      0.86     25141
