Stats on Validation Set
              precision    recall  f1-score   support
         ADJ       0.94      0.91      0.93      1872
         ADP       0.96      0.98      0.97      2029
         ADV       0.91      0.91      0.91      1180
         AUX       0.97      0.98      0.98      1509
       CCONJ       0.98      0.99      0.98       779
         DET       0.99      0.98      0.99      1895
        INTJ       0.89      0.80      0.84       115
        NOUN       0.94      0.96      0.95      4196
         NUM       0.95      0.96      0.96       382
        PART       0.99      0.98      0.98       631
        PRON       0.99      0.99      0.99      2216
       PROPN       0.93      0.91      0.92      1787
       PUNCT       0.99      0.99      0.99      3075
       SCONJ       0.94      0.93      0.94       464
         SYM       0.85      0.72      0.78        79
        VERB       0.97      0.96      0.96      2757
           X       0.77      0.70      0.73       144
    accuracy                           0.96     25110
   macro avg       0.94      0.92      0.93     25110
weighted avg       0.96      0.96      0.96     25110
